,Unnamed: 0,eventType,outcome,cross,keyPass,assist,subEventType,bodyPart,xG,eventTypes,eventId,eventPeriod,eventTime,teamId,playerId,x,y,relativeEvent_eventId,relativeEvent_playerId,relativeEvent_x,relativeEvent_y,ballPosition_x,ballPosition_y,playerName,playerLastName,time_sec,time_min,relative_real_x,relative_real_y,real_x,real_y,passDistance,passAngle,Angle,Distance,teamName
197,197,Pass,Successful,False,False,False,,,,,41255099,FIRST_HALF,165430,10758,210330.0,0.959203,0.724741,41255100.0,210325.0,0.985587,0.827942,,,Vladimir,Coufal,165.43,2.757166666666667,67.019916,86.93391,65.225804,76.097805,10.983624603907813,80.59893751961499,Side,short,Czech
850,850,Pass,Unsuccessful,True,False,False,,,,,41255112,FIRST_HALF,168227,10758,210325.0,0.97579,0.882535,41255114.0,,0.27224,0.922747,,,Lukas,Masopust,168.227,2.803783333333333,18.51232,96.888435,66.35372000000001,92.666175,48.02735713598658,174.95640810030932,Backward,long,Czech
1839,1839,Pass,Successful,True,False,False,,,,,41255120,FIRST_HALF,172529,10758,210328.0,0.11879,0.920735,41255121.0,210334.0,0.378257,0.981604,,,Jakub,Jankto,172.529,2.8754833333333334,25.721476,103.06842,8.077720000000001,96.67717499999999,18.76566381553184,19.912329099584838,Forward,middle,Czech
8,8,Pass,Successful,False,False,False,,,,,41255124,FIRST_HALF,176242,10758,210334.0,0.297963,0.994125,41255125.0,210328.0,0.223296,0.960923,,,Antonin,Barak,176.242,2.9373666666666667,15.184128,100.89691499999999,20.261484,104.383125,6.158993758304687,214.4742392412113,Backward,short,Czech
1840,1840,Pass,Unsuccessful,True,False,False,,,,,41255125,FIRST_HALF,176932,10758,210328.0,0.223296,0.960923,41255126.0,,0.595015,0.948034,,,Jakub,Jankto,176.932,2.9488666666666665,40.46102,99.54357,15.184128,100.89691499999999,25.313095659533403,356.9352644110575,Forward,middle,Czech
591,591,Pass,Successful,False,False,False,,,,,41255137,FIRST_HALF,183707,10757,210302.0,0.129888,0.185016,41255138.0,210304.0,0.0267157,0.199525,,,Leonardo,Spinazzola,183.707,3.061783333333333,1.8166676,20.950125,8.832384000000001,19.42668,7.179217316201953,167.7485676989644,Backward,short,Italy
679,679,Pass,Successful,False,False,False,,,,,41255138,FIRST_HALF,184528,10757,210304.0,0.0267157,0.199525,41255139.0,210301.0,0.167947,0.195243,,,Lorenzo,Insigne,184.528,3.0754666666666663,11.420396,20.500515,1.8166676,20.950125,9.61424715373318,357.31958686911673,Forward,short,Italy
1338,1338,Pass,Successful,False,False,False,,,,,41255145,FIRST_HALF,187455,10757,210301.0,0.111598,0.227091,41255146.0,210304.0,0.010298,0.203187,,,Manuel,Locatelli,187.455,3.1242500000000004,0.700264,21.334635000000002,7.5886640000000005,23.844555,7.331422301736547,200.020176608474,Backward,short,Italy
681,681,Pass,Successful,False,False,False,,,,,41255146,FIRST_HALF,188083,10757,210304.0,0.010298,0.203187,41255147.0,210308.0,0.169105,0.0754667,,,Lorenzo,Insigne,188.083,3.134716666666667,11.49914,7.9240034999999995,0.700264,21.334635000000002,17.218035895309555,308.8426647213329,Forward,middle,Italy
1885,1885,Pass,Successful,False,False,False,,,,,41255151,FIRST_HALF,189780,10757,210308.0,0.165744,0.0687893,41255152.0,210307.0,0.43854,0.0371094,,,Giorgio,Chiellini,189.78,3.163,29.820719999999998,3.896487,11.270592,7.2228765,18.846010610261636,349.83382736578517,Forward,middle,Italy
1026,1026,Pass,Successful,False,False,False,,,,,41255154,FIRST_HALF,193015,10757,210307.0,0.486242,0.0682249,41255155.0,210309.0,0.717246,0.196645,,,Gianluigi,Donnarumma,193.015,3.216916666666666,48.772728,20.647724999999998,33.064456,7.1636145,20.701957521021875,40.64306406798835,Forward,middle,Italy
315,315,Pass,Successful,False,False,False,,,,,41255161,FIRST_HALF,198413,10757,210309.0,0.758098,0.358655,41255162.0,210306.0,0.970692,0.511541,,,Leonardo,Bonucci,198.413,3.3068833333333334,66.007056,53.711805000000005,51.550664000000005,37.658775,21.602940583137386,47.995705491212505,Forward,middle,Italy
2011,2011,Pass,Unsuccessful,False,False,False,,,,,41255167,FIRST_HALF,201467,10757,210306.0,0.961765,0.564694,41255168.0,,0.693871,0.802938,,,Alessandro,Florenzi,201.467,3.3577833333333333,47.183228,84.30849,65.40002,59.29287,30.945641934780802,126.06273207781601,Backward,long,Italy
1523,1523,Pass,Successful,False,False,False,,,,,41255163,FIRST_HALF,205122,10758,210332.0,0.162778,0.156059,41255164.0,210333.0,0.120446,0.2213,,,Jakub,Brabec,205.122,3.4187000000000003,8.190328,23.2365,11.068904,16.386195,7.430536883752142,112.79269924071627,Side,short,Czech
1751,1751,Pass,Successful,False,False,False,,,,,41255164,FIRST_HALF,205845,10758,210333.0,0.120446,0.2213,41255165.0,210329.0,0.289291,0.299913,,,Jan,Boril,205.845,3.43075,19.671788000000003,31.490865,8.190328,23.2365,14.140667073544483,35.713487636857394,Forward,short,Czech
60,60,Pass,Unsuccessful,False,False,False,,,,,41255165,FIRST_HALF,208044,10758,210329.0,0.289291,0.299913,41255166.0,,0.468026,0.811672,,,Vladimir,Darida,208.044,3.4674,31.825768,85.22556,19.671788000000003,31.490865,55.09207453512188,77.25501103554075,Side,long,Czech
1028,1028,Pass,Successful,False,False,False,,,,,41255179,FIRST_HALF,213756,10757,210307.0,0.542969,0.242215,41255180.0,210309.0,0.73511,0.356698,,,Gianluigi,Donnarumma,213.756,3.5626,49.987480000000005,37.45329,36.921892,25.432575,17.75407499412372,42.61494431066893,Forward,middle,Italy
317,317,Pass,Successful,False,False,False,,,,,41255188,FIRST_HALF,216701,10757,210309.0,0.757559,0.362351,41255189.0,210306.0,0.941348,0.489129,,,Leonardo,Bonucci,216.701,3.611683333333333,64.011664,51.358545,51.514012,38.046855,18.259036014237,46.80653520194244,Forward,middle,Italy
2013,2013,Pass,Successful,False,False,False,,,,,41255192,FIRST_HALF,219696,10757,210306.0,0.927941,0.481329,41255193.0,210309.0,0.685866,0.356901,,,Alessandro,Florenzi,219.696,3.6616,46.638888,37.474605000000004,63.099988,50.539545000000004,21.015719602564175,218.43852923624166,Backward,middle,Italy
319,319,Pass,Successful,False,False,False,,,,,41255200,FIRST_HALF,226146,10757,210309.0,0.616918,0.428945,41255201.0,210308.0,0.230654,0.449266,,,Leonardo,Bonucci,226.146,3.7691,15.684472,47.17293,41.950424,45.039225,26.352474864675024,175.35579620252236,Backward,middle,Italy
1887,1887,Pass,Successful,False,False,False,,,,,41255205,FIRST_HALF,229981,10757,210308.0,0.281431,0.474304,41255206.0,210309.0,0.563269,0.42737,,,Giorgio,Chiellini,229.981,3.8330166666666665,38.302292,44.873850000000004,19.137307999999997,49.80192,19.788443234503216,345.5794196405316,Forward,middle,Italy
321,321,Pass,Unsuccessful,False,False,False,,,,,41255212,FIRST_HALF,233170,10757,210309.0,0.606853,0.442449,41255213.0,,0.609424,0.684327,,,Leonardo,Bonucci,233.17,3.8861666666666665,41.440832,71.854335,41.266003999999995,46.457145,25.397791729315454,89.60559619687774,Side,middle,Italy
1524,1524,Pass,Successful,False,False,False,,,,,41255196,FIRST_HALF,234137,10758,210332.0,0.409863,0.317202,41255197.0,210334.0,0.429428,0.414142,,,Jakub,Brabec,234.137,3.9022833333333335,29.201103999999997,43.48491,27.870683999999997,33.30621,10.265278908358992,82.55329719951885,Side,short,Czech
9,9,Pass,Successful,False,False,False,,,,,41255197,FIRST_HALF,234823,10758,210334.0,0.429428,0.414142,41255198.0,210328.0,0.290901,0.42607,,,Antonin,Barak,234.823,3.9137166666666663,19.781268,44.73735,29.201103999999997,43.48491,9.50273203981339,172.42650232194887,Backward,short,Czech
1237,1237,Pass,Successful,False,False,False,,,,,41255224,FIRST_HALF,245294,10757,210303.0,0.651927,0.529086,41255225.0,210301.0,0.282838,0.511629,,,Jorginho,,245.294,4.088233333333333,19.232984,53.721045,44.331036000000005,55.55403,25.164897142744877,184.177064283612,Backward,middle,Italy
1340,1340,Pass,Successful,False,False,False,,,,,41255230,FIRST_HALF,250706,10757,210301.0,0.300176,0.532041,41255231.0,210309.0,0.588533,0.437531,,,Manuel,Locatelli,250.706,4.178433333333333,40.020244,45.940755,20.411968,55.864305,21.97638123747119,333.1564899074036,Forward,middle,Italy
323,323,Pass,Successful,False,False,False,,,,,41255234,FIRST_HALF,253169,10757,210309.0,0.628884,0.434645,41255235.0,210306.0,0.866959,0.515574,,,Leonardo,Bonucci,253.169,4.219483333333334,58.953212,54.13527,42.764112,45.637725,18.283742227373068,27.694665861700855,Forward,middle,Italy
2015,2015,Pass,Successful,False,False,False,,,,,41255241,FIRST_HALF,255705,10757,210306.0,0.897439,0.532285,41255242.0,210310.0,0.964135,0.611118,,,Alessandro,Florenzi,255.705,4.26175,65.56118,64.16739000000001,61.025852,55.889925,9.438518257322446,61.28110663934416,Side,short,Italy
2152,2152,Pass,Successful,False,False,False,,,,,41255249,FIRST_HALF,257335,10757,210310.0,0.950099,0.613708,41255250.0,210305.0,0.826001,0.976863,,,Domenico,Berardi,257.335,4.288916666666666,56.168068,102.570615,64.60673200000001,64.43934,39.0538753932375,102.47874989134925,Side,long,Italy
