,id,players,ball,ball_x,ball_y
29,280,"4396,2247;3661,830;4285,3252;5262,2347;5320,4297;3363,4412;1119,3381;3617,1880;3495,3068;4555,5483;4427,4084;9338,3410;5283,997;5166,1855;6054,2941;5473,4156;6216,3584;5552,625;7090,2290;7084,3923;5154,6361;5224,3432","5478,3426",5478,3426
30,281,"4395,2247;3659,831;4286,3250;5270,2350;5331,4287;3364,4412;1123,3381;3617,1880;3497,3068;4559,5482;4425,4084;9338,3410;5279,999;5158,1854;6053,2942;5472,4149;6216,3583;5549,624;7090,2289;7085,3923;5141,6361;5224,3434","5530,3430",5530,3430
31,282,"4395,2247;3658,832;4287,3248;5279,2352;5345,4278;3366,4412;1127,3382;3616,1880;3499,3069;4562,5480;4423,4084;9339,3410;5275,1002;5149,1854;6052,2942;5470,4141;6217,3581;5546,621;7089,2288;7086,3924;5128,6362;5222,3435","5582,3435",5582,3435
32,283,"4395,2247;3656,833;4288,3244;5287,2354;5358,4271;3367,4413;1131,3382;3616,1880;3501,3070;4567,5479;4422,4084;9339,3409;5270,1004;5140,1854;6050,2941;5469,4133;6218,3578;5542,618;7089,2286;7087,3924;5115,6363;5219,3436","5632,3439",5632,3439
33,284,"4395,2247;3654,834;4289,3238;5297,2356;5372,4266;3368,4413;1135,3382;3616,1881;3504,3070;4571,5478;4420,4084;9339,3409;5265,1005;5131,1855;6049,2940;5468,4124;6220,3575;5538,615;7089,2283;7088,3924;5102,6364;5216,3437","5681,3443",5681,3443
34,285,"4395,2247;3652,836;4290,3231;5306,2357;5386,4258;3369,4413;1140,3381;3616,1882;3506,3071;4576,5478;4419,4083;9339,3409;5259,1008;5122,1855;6048,2937;5467,4115;6221,3571;5534,612;7090,2279;7090,3925;5088,6365;5212,3438","5729,3447",5729,3447
35,286,"4395,2246;3650,837;4291,3224;5315,2359;5401,4250;3370,4414;1145,3382;3616,1882;3509,3071;4582,5477;4418,4082;9340,3409;5253,1012;5112,1856;6047,2934;5465,4105;6222,3567;5530,608;7090,2275;7093,3926;5073,6367;5208,3439","5775,3451",5775,3451
36,287,"4394,2245;3649,839;4291,3215;5324,2362;5417,4242;3370,4414;1150,3382;3616,1883;3511,3072;4587,5477;4416,4079;9340,3409;5245,1016;5102,1856;6045,2931;5464,4096;6224,3563;5524,605;7091,2271;7096,3926;5059,6368;5203,3440","5820,3455",5820,3455
37,288,"4394,2244;3647,840;4292,3207;5334,2365;5434,4235;3371,4414;1155,3382;3617,1884;3514,3072;4593,5477;4414,4076;9340,3409;5237,1021;5091,1856;6044,2927;5462,4087;6226,3559;5519,603;7092,2267;7099,3927;5045,6369;5199,3441","5864,3458",5864,3458
38,289,"4394,2241;3646,841;4293,3199;5345,2367;5451,4228;3371,4414;1160,3382;3617,1884;3517,3072;4599,5478;4412,4072;9340,3409;5229,1025;5080,1856;6043,2922;5461,4078;6228,3554;5514,600;7093,2263;7102,3929;5030,6371;5194,3442","5907,3462",5907,3462
39,290,"4394,2237;3644,844;4294,3192;5357,2369;5468,4221;3371,4415;1165,3382;3617,1885;3520,3071;4605,5478;4410,4068;9340,3409;5220,1030;5069,1857;6041,2916;5459,4066;6230,3548;5508,596;7094,2258;7105,3930;5015,6372;5189,3442","5948,3465",5948,3465
40,291,"4393,2232;3643,845;4295,3184;5369,2371;5486,4211;3370,4415;1170,3381;3618,1885;3523,3070;4611,5478;4407,4064;9341,3409;5210,1034;5058,1858;6040,2910;5458,4054;6233,3541;5503,592;7096,2253;7108,3931;4999,6373;5183,3443","5988,3469",5988,3469
41,292,"4393,2226;3641,846;4296,3177;5381,2371;5504,4199;3369,4415;1175,3380;3619,1885;3526,3070;4618,5479;4405,4060;9341,3409;5200,1039;5047,1859;6038,2904;5456,4043;6236,3534;5497,587;7098,2247;7112,3932;4983,6373;5178,3443","6027,3472",6027,3472
42,293,"4392,2220;3639,847;4297,3169;5393,2370;5522,4185;3367,4415;1181,3380;3619,1886;3529,3069;4624,5479;4402,4056;9341,3409;5190,1043;5036,1860;6037,2898;5454,4032;6240,3527;5491,583;7100,2241;7115,3933;4967,6373;5172,3444","6064,3475",6064,3475
43,294,"4391,2214;3638,849;4299,3161;5406,2369;5540,4172;3365,4416;1186,3379;3619,1886;3533,3069;4631,5479;4400,4052;9341,3409;5180,1046;5023,1862;6034,2892;5451,4021;6243,3520;5485,578;7102,2235;7119,3933;4951,6373;5166,3445","6101,3478",6101,3478
44,295,"4390,2208;3636,850;4300,3153;5419,2366;5558,4159;3363,4416;1192,3378;3620,1886;3536,3068;4638,5478;4397,4048;9341,3409;5170,1050;5011,1864;6032,2886;5448,4011;6247,3513;5479,573;7104,2230;7123,3934;4935,6373;5161,3445","6136,3481",6136,3481
45,296,"4389,2203;3635,851;4301,3145;5433,2364;5575,4145;3360,4417;1198,3378;3620,1886;3539,3068;4645,5476;4394,4044;9341,3409;5159,1055;4997,1865;6030,2880;5445,4001;6251,3507;5473,567;7107,2225;7126,3935;4920,6374;5155,3445","6169,3484",6169,3484
46,297,"4387,2197;3633,852;4303,3136;5446,2362;5591,4131;3358,4419;1204,3378;3620,1885;3543,3067;4653,5474;4392,4040;9341,3409;5148,1060;4983,1866;6029,2874;5442,3991;6255,3502;5467,561;7110,2220;7130,3936;4905,6374;5150,3446","6202,3487",6202,3487
47,298,"4386,2191;3632,852;4304,3128;5460,2360;5607,4113;3355,4421;1209,3378;3620,1885;3547,3066;4660,5472;4389,4035;9341,3409;5137,1066;4969,1867;6027,2868;5438,3981;6259,3497;5460,556;7112,2216;7135,3937;4889,6374;5144,3446","6233,3489",6233,3489
48,299,"4383,2184;3631,853;4306,3119;5474,2358;5624,4091;3352,4423;1216,3378;3620,1885;3551,3066;4668,5470;4385,4030;9341,3409;5124,1072;4955,1868;6025,2862;5435,3970;6263,3492;5453,551;7114,2214;7139,3939;4874,6375;5138,3447","6263,3492",6263,3492
49,300,"4381,2177;3629,853;4307,3111;5488,2355;5640,4069;3349,4425;1222,3379;3619,1885;3555,3065;4676,5468;4382,4024;9342,3409;5112,1077;4940,1870;6023,2855;5431,3959;6267,3486;5445,546;7117,2212;7144,3940;4859,6375;5133,3447","6267,3486",6267,3486
50,301,"4379,2169;3628,853;4309,3102;5503,2351;5656,4049;3346,4427;1227,3378;3619,1885;3559,3065;4683,5464;4378,4018;9342,3409;5099,1081;4926,1873;6020,2849;5427,3949;6272,3480;5438,541;7119,2209;7148,3942;4844,6375;5128,3448","6272,3480",6272,3480
51,302,"4376,2161;3627,853;4311,3094;5518,2348;5671,4028;3343,4429;1233,3379;3618,1886;3562,3064;4691,5459;4375,4011;9342,3409;5086,1083;4913,1877;6017,2842;5422,3938;6277,3472;5430,536;7122,2205;7152,3944;4830,6376;5122,3449","6277,3472",6277,3472
52,303,"4374,2153;3626,854;4313,3085;5533,2344;5685,4007;3341,4431;1239,3379;3617,1886;3566,3063;4699,5454;4371,4003;9342,3410;5073,1085;4899,1882;6014,2836;5418,3928;6283,3463;5423,531;7125,2200;7156,3946;4815,6376;5116,3450","6283,3463",6283,3463
53,304,"4371,2146;3625,853;4315,3076;5549,2340;5698,3984;3338,4434;1245,3379;3617,1886;3570,3063;4708,5448;4368,3995;9342,3410;5061,1087;4885,1887;6010,2830;5413,3918;6288,3452;5415,525;7129,2194;7160,3949;4802,6377;5110,3451","6288,3452",6288,3452
